ID;Apraksts;Vietas tips;Balsu skaits;Atrašanās vieta;RDSD atbildes statuss
283;Augsta apmale;Segums (bedres, augstas apmales);20;56.997189922841194, 24.161843061447147;Nav
220;"Nav seguma virzienā zem Kalnciema tilta virzienā no Āgenskalna uz Tape&scaron;u ielu/Depo, lai nokļūtu uz Jūrmalas veloceliņa. &Scaron;is ir viens no galvenajiem ceļiem no Āgenskalna uz Jūrmalas veloceliņu.";Segums (bedres, augstas apmales);20;56.9396825835734, 24.053621291132007;Nav
2061;"Gājēju pārejas zonā nepiecie&scaron;ams ieklāt gludu segumu";Segums (bedres, augstas apmales);20;56.93673368019058, 24.076237678527836;Nav
407;Uz Zemitāna tilta ļoti asa un bīstama trajektorija, lai no A joslas nokļūtu uz ietves.;Strauji pagriezieni;20;56.96476325537411, 24.157149195671085;Nav
164;"Pēk&scaron;ņi izbeidzas ietve, tuvumā nav iespējas dro&scaron;i &scaron;ķērsot Ezermalas ielu - līdz netālu eso&scaron;ajai pārejai nav iespējams nokļūt.";Cits;20;56.99546588913752, 24.17192722299187;Nav
684;Valdeķu ielā no Graudu līdz pat Saulkalnes ielai ir diezgan augstas apmales, dažās vietās sliktas ietvju stāvoklis;Segums (bedres, augstas apmales);20;56.91109923830926, 24.095651507377628;Nav
2047;"&Scaron;auras ietves, kur pat divi cilvēki nevar blakus iet, bedres un augstas apmales Friča Brīvzemnieka ielas posmā no Vienības gatves līdz Arkādijas parkam.";Segums (bedres, augstas apmales);19;56.93026865793744, 24.088114625774327;Nav
3554;"Ietve pie gājēju tuneļa ir ļoti &scaron;aura, lai gan atrodas pie sabiedriskā transporta pieturas, kur iet daudz cilvēku. &Scaron;o ietvi izmanto daudzi velobraucēji, kas brauc uz vai no Akmens tilta.";Šaurība, nepārredzamība;19;56.94597399801592, 24.105086962918314;Nav
4683;"Gaisa tilts ir kauna traips galvaspilsētai! Ir jāpievieno velosipēdu joslas, kas atdalītas no ietves. Eso&scaron;ajā izkārtojumā neērtības, staigājot un braucot ar velosipēdu un elektrisko skrejriteni, izraisa arī trolejbusu elektrolīniju stabi.";Šaurība, nepārredzamība;19;56.96936896016029, 24.154365062713627;Nav
285;"Pirms uzbrauk&scaron;anas uz tilta barjeru un smil&scaron;u kastes novietojums rada nevajadzīgu sa&scaron;aurinājumu. Jāpārvieto smil&scaron;u kaste uz zālāju un jāpārvieto barjeras tuvāk brauktuvei...";Šaurība, nepārredzamība;19;57.03203177216275, 24.13358867168427;Nav
2063;"Gājēju pārejas zonā nepiecie&scaron;ams ieklāt gludu segumu";Segums (bedres, augstas apmales);19;56.936698560524356, 24.062504768371586;Nav
342;"Ļoti augstas apmales un nav iezīmētas velocels/ietve ko &scaron;ķērso iebrauk&scaron;ana CSDD teritorijā.";Segums (bedres, augstas apmales);19;56.91771603656457, 24.115565203886167;Nav
3122;"Vides pieejamības prasībām neatbilso&scaron;a dzelzceļa pāreja.";Segums (bedres, augstas apmales);19;56.9533971569639, 23.97122919559479;Nav
186;"&Scaron;aurs un tum&scaron;s tunelis. Nav pārredzams, kas būs aiz pagrieziena gan iebraucot, gan izbraucot abos virzienos.";Šaurība, nepārredzamība;19;56.93847791534026, 24.13060069084168;Nav
272;"Nepiecie&scaron;ams izveidot uzbrauktuvi uz veloceļa no brauktuves Ģenerāļa Radziņa krastmalā, citādāk velosipēdistiem, kas brauc pa brauktuvi nekas cits neatliek kā apstāties un celt velo aug&scaron;ā uz veloceļa.";Segums (bedres, augstas apmales);19;56.943353146685396, 24.110167622566227;Nav
2535;Tilta centra pusē nav pat ietves, par veloceļu nerunājot. Ar mazu bērnu pa brauktuvi nepabrauksi... Tilts ir ļoooooti plats, tur bez problēmām var mazu daļiņu nodot gājēju un velo rīcībā!;Cits;19;56.964871459414326, 24.156451821327213;Nav
352;Apmales ļauj braukt tikai vienam divritenim gan nibraujtuve gan izbraujtuvei. Nav iezīmēta velo celiņa ietve un bieži auto stāv aizsedzot vai celiņu.;Segums (bedres, augstas apmales);19;56.93449101019812, 24.138511682732567;Nav
53;"Trūkst ceļ&scaron; virzienā uz Brasas staciju ";Cits;19;56.97571951239709, 24.145647883415222;Nav
278;"Neapgaismots tunelis, diennakts tum&scaron;ajā laikā, neko nevar redzēt ";Cits;19;56.938870064360515, 24.127403497695926;Nav
182;"Lai no Lāčplē&scaron;a ielas nokļūtu uz Salu tiltu, sākumā &scaron;aura iebraukāta taciņa ar asiem akmeņiem, tālāk jācer, ka no pagrieziena lielā ātrumā netuvosies automa&scaron;īnas vai tramvajs un tad jāpievārē augstās apmales un asās sliežu malas.";Segums (bedres, augstas apmales);19;56.93884079965064, 24.130439758300785;Nav
3123;"Nepiecie&scaron;ams salabot tiltiņu pāri Zunda kanālam";Cits;18;56.95769129379931, 24.07661855220795;Nav
1027;"Autostāvvieta uz ietves ļoti apgrūtina samainī&scaron;anos ar pretimbrauco&scaron;ajiem vai nāko&scaron;ajiem cilvēkiem. Ierosinu pārvietot autostāvvietu pilnībā uz brauktuves, netraucēs.";Šaurība, nepārredzamība;18;56.9514576128204, 24.11451816558838;Nav
617;"Krustojumā pie Lāčplē&scaron;a ielas 80 &scaron;aura ietve ēkas stūrī. 
Ātra Autotransorta satiksme vēl vairāk pasliktina gajēju un velosipēdistu dro&scaron;ību";Šaurība, nepārredzamība;18;56.94729441940016, 24.133744239807132;Nav
618;Divi stabi pirms gajēju parejas ierobežo pārredzamību, jāveic straujus pagriezienus, lai tiktu tunelī zem tilta. ;Cits;18;56.92181655359536, 24.102952480316166;Nav
191;Kapseļu un Melnsila krustojums. Ļoti augstas apmales, bedres.;Segums (bedres, augstas apmales);18;56.94206304084001, 24.068605899374237;Nav
2051;Pilnīgi neizprotams apmales izvietojums.;Segums (bedres, augstas apmales);18;56.921631655209055, 24.101226751226935;Nav
1475;"Nepārredzams un bīstams krustojums pie Dominas B ieejas, automa&scaron;īnas izbraucot no VEF teritorijas nedod priek&scaron;roku riteņbraucējiem, kas atrodas uz galvenā ceļa.";Cits;18;56.96705301978144, 24.161832332611088;Nav
231;"Muitas un 11. novenbra krastmalas krustojumā luksofori ir, bet nav neviena gājēju pāreja, lai &scaron;ķērsotu ielu.";Cits;18;56.952534174671094, 24.098435640335087;Nav
2015;"Vienīgais ceļ&scaron; no centra, kas ved uz Latvijas Universitātes kampusu. Ļoti plata iela ar neregulētu un gājējiem nedro&scaron;u krustojumu. ";Cits;18;56.93938482228043, 24.096285933628682;Nav
1118;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos. Apmaļu pazeminā&scaron;ana jāveic visas ietves platumā!";Segums (bedres, augstas apmales);18;56.958176839445585, 24.121985435485843;Nav
1055;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos. Apmaļu pazeminā&scaron;ana jāveic visas ietves platumā!";Segums (bedres, augstas apmales);17;56.94871633534708, 24.114276766777042;Nav
216;"Nav seguma (tikai iestaigāta/iebraukta taciņa). Negaidīta apmale, kurā velosipēdisti izgrauzu&scaron;i &quot;robus&quot;, lai varētu izbraukt. &Scaron;is ir viens no galvenajiem Āgenskalna ceļiem uz Spici.";Segums (bedres, augstas apmales);17;56.937450914667494, 24.04970705531014;Nav
1244;Augstas apmales iebrauktuvei no Trijādības ielas uz pagalmu Kuģu ielā 26.;Segums (bedres, augstas apmales);17;56.94481030426637, 24.09270644155186;Nav
1440;Lai tiktu uz Zemitāna tiltu kreiso pusi no Purvciema, nav paredzēts nekas!;Cits;17;56.96575462658741, 24.164814949035648;Nav
276;"Uz veloceļa Deglava ielā visā garumā nepiecie&scaron;ams nulles līmenī nolīdzināt apmales, daudzas ir pat bīstami augstas, uz kurām var pārsist velo riepu...";Segums (bedres, augstas apmales);17;56.9455242630735, 24.211539030075073;Nav
1899;Vairoga ielas pārvada nobrauktuve uz Gaujas ielu - uz ietves bīstami iegrimis segums.;Segums (bedres, augstas apmales);17;56.985225773747985, 24.160759449005127;Nav
2045;"Uz tilta izmainīties nav iespējams un augstās, sabruku&scaron;ās apmales traucē uz tā uzbraukt.";Šaurība, nepārredzamība;16;56.92840611269884, 24.085165201686326;Nav
997;"Apmales ir nepiecie&scaron;ams nolīdzināt, lai ļautu velobraucēju un cilvēku ar ierobežotu mobilitāti kustību. Kā arī pārejas atra&scaron;anās vieta ir neloģiska.";Segums (bedres, augstas apmales);16;56.930598943596216, 24.106793403625492;Nav
4696;"Veloceliņ&scaron; pirms Ķīpsalas ielas gājēju pārejas pēk&scaron;ņi mainās vietām ar gājēju ceļu ";Cits;16;56.94983100931011, 24.086301326751713;Nav
1637;Augstas apmales.;Segums (bedres, augstas apmales);16;56.93361798540494, 24.141573769584287;Nav
4040;"Pāreja ar luksoforu, kam nav sihronas gaismas signāli (zaļ&scaron;/sarkans) abās joslās, kuras jā&scaron;ķērso. Sāc braukt pie zaļā un pēk&scaron;ņi sarkans....";Cits;16;56.952835489313486, 24.07058166154375;Nav
295;Marijas Dzirnavu stūri, nobrauktuve novirzīta ēkas sienā un elektrības skapjos, vajadzētu no stūra uz stūri ;Cits;16;56.95026107145659, 24.124501347541813;Nav
3410;Sliedes ar bruģētu ietvi traucē un velosipēdistiem, un gajējiem;Segums (bedres, augstas apmales);16;56.91947716179758, 24.09862339496613;Nav
488;"Nepiecie&scaron;ams ierīkot dro&scaron;u gājēju pāreju ar dro&scaron;ības saliņu pa vidu. Bīstami &scaron;ķērsot brauktuvi citādāk kā gājējiem tā velosipēdistiem. ";Cits;16;56.98056648886705, 24.136844873428345;Nav
1656;Dziļa bedre. Bīstama velo braucējiem un skrejriteņiem.;Segums (bedres, augstas apmales);16;56.93683075974994, 24.129417081803695;Nav
1023;"Autostāvvietas uz ietves izveidotas tā, ka ļoti apgrūtino&scaron;i braukt ar velosipēdu un samainīties ar pretimbraucēju vai gājēju. ";Šaurība, nepārredzamība;16;56.95422501611547, 24.10902500152588;Nav
2631;Augstas apmales Skaistkalnes un Bauskas ielu krustojumā, kā arī vairākās citās vietās uz Bauskas ielas posmā no K.Ulmaņa gatves līdz CSDD.;Segums (bedres, augstas apmales);16;56.91719932086763, 24.1059685824439;Nav
3140;Ļoti slikts segums, izdrupis asfalts.;Segums (bedres, augstas apmales);16;56.9366322766371, 24.07812670804561;Nav
1026;"Autostāvvieta uz ietves ļoti apgrūtina samainī&scaron;anos ar pretimbrauco&scaron;ajiem vai nāko&scaron;ajiem cilvēkiem. Ierosinu pārvietot autostāvvietu pilnībā uz brauktuves, netraucēs. ";Šaurība, nepārredzamība;15;56.952267962541825, 24.113123416900635;Nav
259;"&Scaron;aurs ceļ&scaron; starp Jaunatnes dārzu un Melnsila ielu";Šaurība, nepārredzamība;15;56.940221884423636, 24.07035112359154;Nav
1116;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos. Apmaļu pazeminā&scaron;ana jāveic visas pārejas platumā!";Segums (bedres, augstas apmales);15;56.95303148894018, 24.130568504333496;Nav
277;"Nepiecie&scaron;ams nolīdzināt apmales krustojumā 0 cm līmenī!";Segums (bedres, augstas apmales);15;56.944783990961376, 24.21748816967011;Nav
995;"&Scaron;ķērslis ietuves pa&scaron;ā vidū, kā arī maldino&scaron;a ceļu zīme, kas informē par velo/gājēju infrastruktūras esamību.";Cits;15;56.96711150489631, 24.147090911865238;Nav
1755;Bojāts ceļa segums. ;Segums (bedres, augstas apmales);15;56.9945107908959, 24.163447918253954;Nav
270;"Bedre kur krājas ūdens un &scaron;aurā vietā nevar pretim pabraukt dro&scaron;i viens otram garām nav arī iezīmēts velo celiņa krustojums un autovadītāji neuzskata to par krustojumu ar velo/gājēju celiņu ";Segums (bedres, augstas apmales);15;56.93229925510133, 24.146273778897548;Nav
263;Stabs uz veloceļa.;Šaurība, nepārredzamība;15;56.98323819529895, 24.200193285942078;Nav
485;"Nepiecie&scaron;ams vecās betona plāksnes ar kāpnēm nomainīt pret līdzenu savienojumu.";Segums (bedres, augstas apmales);15;56.97545054227291, 24.145610332489017;Nav
217;"Kauguru ielas augstās apmales, nepiemērotas brauk&scaron;anai. NB - &scaron;is ir viens no galvenajiem Āgenskalna ceļiem uz Spici.";Segums (bedres, augstas apmales);15;56.93731169622787, 24.049168823839864;Nav
1443;"Nav paredzēta ielas &scaron;ķērso&scaron;ana, tāpēc, lai nokļūtu uz Lucavsalu, nākas braukt līdz Bieķensalas luksoforam un tad atpakaļ. Arī iela gar RIGA PLAZA visā&nbsp;tā garumā&nbsp;nemaz nav piemērots velosipēdistiem.";Cits;15;56.93459132003452, 24.091032743453983;Nav
